time,value
2025-09-16T08:57:31.015085513Z,-0.8877105712890625
2025-09-16T08:57:32.009077265Z,-0.8716278076171875
2025-09-16T08:57:33.348229638Z,-0.8688201904296875
2025-09-16T08:57:34.347480504Z,-0.86944580078125
2025-09-16T08:57:35.347429216Z,-0.889678955078125
2025-09-16T08:57:36.364197766Z,-0.8773345947265625
2025-09-16T08:57:37.349154198Z,-0.889129638671875
2025-09-16T08:57:38.348296876Z,-0.8837890625
2025-09-16T08:57:39.350393265Z,-0.8715667724609375
2025-09-16T08:57:40.349336137Z,-0.8756103515625
2025-09-16T08:57:41.352429396Z,-0.8791961669921875
2025-09-16T08:57:42.350300113Z,-0.878936767578125
2025-09-16T08:57:43.350269416Z,-0.9187469482421875
2025-09-16T08:57:44.352341291Z,-0.8594818115234375
2025-09-16T08:57:45.3513493Z,-0.867950439453125
2025-09-16T08:57:46.353905091Z,-0.8927459716796875
2025-09-16T08:57:47.367538196Z,-0.83148193359375
2025-09-16T08:57:48.374062593Z,-0.8862457275390625
2025-09-16T08:57:49.367335148Z,-0.8978118896484375
2025-09-16T08:57:50.3725472Z,-0.874481201171875
2025-09-16T08:57:51.373106897Z,-0.9464569091796875
2025-09-16T08:57:52.383382721Z,-0.8935699462890625
2025-09-16T08:57:53.37150447Z,-0.8953094482421875
2025-09-16T08:57:54.375416837Z,-0.9123077392578125
2025-09-16T08:57:55.374313539Z,-0.869415283203125
2025-09-16T08:57:56.372679049Z,-0.8762969970703125
2025-09-16T08:57:57.384554118Z,-0.8841552734375
2025-09-16T08:57:58.386261104Z,-0.8804931640625
2025-09-16T08:57:59.387225777Z,-0.8328399658203125
2025-09-16T08:58:00.388112136Z,-0.9184417724609375
2025-09-16T08:58:01.387137787Z,-0.9202117919921875
2025-09-16T08:58:02.390116905Z,-0.9183197021484375
2025-09-16T08:58:03.382443916Z,-0.9219207763671875
2025-09-16T08:58:04.399180371Z,-0.9427947998046875
2025-09-16T08:58:05.417651402Z,-0.9300689697265625
2025-09-16T08:58:06.417482585Z,-0.8529052734375
2025-09-16T08:58:07.406406928Z,-0.8836669921875
2025-09-16T08:58:08.448276774Z,-0.8959197998046875
2025-09-16T08:58:09.407248916Z,-0.899322509765625
2025-09-16T08:58:10.412391364Z,-0.9120025634765625
2025-09-16T08:58:11.416252592Z,-0.8997650146484375
2025-09-16T08:58:12.416465367Z,-0.1426849365234375
2025-09-16T08:58:13.416457266Z,-0.9440155029296875
2025-09-16T08:58:14.418459738Z,-0.2278289794921875
2025-09-16T08:58:15.417225717Z,0.712310791015625
2025-09-16T08:58:16.444080159Z,-0.8432159423828125
2025-09-16T08:58:17.439271348Z,-0.7404632568359375
2025-09-16T08:58:18.435261838Z,-0.6546783447265625
2025-09-16T08:58:19.439615636Z,-0.788330078125
2025-09-16T08:58:20.438548682Z,-0.9662322998046875
