time,value
2025-09-16T09:00:03.601323197Z,"{""lat"":-37.64620911158435,""lon"":144.90688702030866}"
2025-09-16T09:00:04.606175089Z,"{""lat"":-37.64620770834555,""lon"":144.9068865671983}"
2025-09-16T09:00:05.637461953Z,"{""lat"":-37.64620770834555,""lon"":144.9068865671983}"
2025-09-16T09:00:06.653347944Z,"{""lat"":-37.64621052109425,""lon"":144.9068980150566}"
2025-09-16T09:00:07.647691281Z,"{""lat"":-37.64621052109439,""lon"":144.9068980150566}"
2025-09-16T09:00:08.650013374Z,"{""lat"":-37.64620596724416,""lon"":144.90690159436102}"
2025-09-16T09:00:09.66709752Z,"{""lat"":-37.64620810866965,""lon"":144.90689900152924}"
2025-09-16T09:00:10.669265489Z,"{""lat"":-37.64620930303019,""lon"":144.9068997654211}"
2025-09-16T09:00:11.674175196Z,"{""lat"":-37.64620900979064,""lon"":144.9068999823487}"
2025-09-16T09:00:12.684083226Z,"{""lat"":-37.64620755646136,""lon"":144.90689969087757}"
2025-09-16T09:00:13.669233911Z,"{""lat"":-37.64620712366226,""lon"":144.9068996309342}"
2025-09-16T09:00:14.670815303Z,"{""lat"":-37.64620830260581,""lon"":144.9068995509105}"
2025-09-16T09:00:15.688205161Z,"{""lat"":-37.646208302611086,""lon"":144.9068995509209}"
2025-09-16T09:00:16.690841714Z,"{""lat"":-37.64621045477842,""lon"":144.90689966645192}"
2025-09-16T09:00:17.683332884Z,"{""lat"":-37.64621077403699,""lon"":144.90689980481048}"
2025-09-16T09:01:41.628051732Z,"{""lat"":-37.64617882569687,""lon"":144.90688989461898}"
2025-09-16T09:01:42.634069701Z,"{""lat"":-37.64617882569687,""lon"":144.90688989461898}"
2025-09-16T09:01:43.630072196Z,"{""lat"":-37.64617882569687,""lon"":144.90688989461898}"
2025-09-16T09:01:44.630321602Z,"{""lat"":-37.64617882569687,""lon"":144.90688989461898}"
2025-09-16T09:01:45.626026469Z,"{""lat"":-37.64617882569687,""lon"":144.90688989461898}"
2025-09-16T09:01:51.813190875Z,"{""lat"":-37.646178487047536,""lon"":144.9068896087056}"
2025-09-16T09:01:52.840033001Z,"{""lat"":-37.646178487047536,""lon"":144.9068896087056}"
2025-09-16T09:01:53.829178336Z,"{""lat"":-37.646178487047536,""lon"":144.9068896087056}"
2025-09-16T09:01:54.850127584Z,"{""lat"":-37.646178487047536,""lon"":144.9068896087056}"
2025-09-16T09:01:55.85134375Z,"{""lat"":-37.646178487047536,""lon"":144.9068896087056}"
2025-09-16T09:01:56.851236724Z,"{""lat"":-37.64617792407394,""lon"":144.9068911972519}"
2025-09-16T09:01:57.854248185Z,"{""lat"":-37.64617792407394,""lon"":144.9068911972519}"
2025-09-16T09:01:58.858672102Z,"{""lat"":-37.64617792407394,""lon"":144.9068911972519}"
2025-09-16T09:01:59.857749057Z,"{""lat"":-37.64617792407394,""lon"":144.9068911972519}"
2025-09-16T09:02:00.856175785Z,"{""lat"":-37.64623189502042,""lon"":144.9069182963177}"
2025-09-16T09:02:01.856332355Z,"{""lat"":-37.64622119264742,""lon"":144.9068954459727}"
2025-09-16T09:02:02.854368242Z,"{""lat"":-37.64622518398143,""lon"":144.90688374869578}"
2025-09-16T09:02:03.858205507Z,"{""lat"":-37.64622159884764,""lon"":144.90687885844176}"
2025-09-16T09:02:04.855351293Z,"{""lat"":-37.64621418868614,""lon"":144.90687226714124}"
2025-09-16T09:02:05.857155538Z,"{""lat"":-37.64620757498404,""lon"":144.90687609602668}"
2025-09-16T09:02:06.859363694Z,"{""lat"":-37.64620012563511,""lon"":144.90687387351238}"
2025-09-16T09:02:07.863211499Z,"{""lat"":-37.646189760782,""lon"":144.9068704045252}"
2025-09-16T09:02:08.858134258Z,"{""lat"":-37.646186883953725,""lon"":144.90686392332634}"
2025-09-16T09:02:09.861088049Z,"{""lat"":-37.64617785113898,""lon"":144.90684788545278}"
2025-09-16T09:02:10.86025815Z,"{""lat"":-37.64616982853004,""lon"":144.90683431635154}"
2025-09-16T09:02:11.860355298Z,"{""lat"":-37.64616982853018,""lon"":144.90683431635156}"
2025-09-16T09:02:12.871365023Z,"{""lat"":-37.6461640652291,""lon"":144.90683142918755}"
2025-09-16T09:02:13.893245961Z,"{""lat"":-37.64616468599197,""lon"":144.90683098391335}"
2025-09-16T09:02:14.961014446Z,"{""lat"":-37.64616188685231,""lon"":144.90682517784546}"
2025-09-16T09:02:15.865658501Z,"{""lat"":-37.64615641903224,""lon"":144.9068300291138}"
2025-09-16T09:02:16.865368949Z,"{""lat"":-37.64615005153096,""lon"":144.90683395300798}"
2025-09-16T09:02:17.89687325Z,"{""lat"":-37.646146685657335,""lon"":144.90683402742206}"
2025-09-16T09:02:18.94615107Z,"{""lat"":-37.64614665401259,""lon"":144.90682760041966}"
2025-09-16T09:02:19.900511448Z,"{""lat"":-37.64614900991626,""lon"":144.9068247547985}"
2025-09-16T09:02:20.887377031Z,"{""lat"":-37.646151175855515,""lon"":144.9068258498682}"
2025-09-16T09:02:21.884408366Z,"{""lat"":-37.6461517281859,""lon"":144.90683258642326}"
2025-09-16T09:02:22.908382687Z,"{""lat"":-37.64615024006763,""lon"":144.90683740323453}"
2025-09-16T09:02:23.88615007Z,"{""lat"":-37.6461463725782,""lon"":144.9068468333218}"
2025-09-16T09:02:24.896193768Z,"{""lat"":-37.64614297149822,""lon"":144.9068511247849}"
2025-09-16T09:02:25.897555813Z,"{""lat"":-37.64614526155321,""lon"":144.90685547744383}"
2025-09-16T09:02:26.899220151Z,"{""lat"":-37.6461466970803,""lon"":144.90685656584026}"
2025-09-16T09:02:27.936151389Z,"{""lat"":-37.646146931978045,""lon"":144.90685422227202}"
2025-09-16T09:02:28.894226435Z,"{""lat"":-37.64614848776102,""lon"":144.9068570545733}"
2025-09-16T09:02:29.891191106Z,"{""lat"":-37.64614885738579,""lon"":144.90685594879685}"
2025-09-16T09:02:30.895799334Z,"{""lat"":-37.64615043541572,""lon"":144.9068580134782}"
2025-09-16T09:02:31.897220143Z,"{""lat"":-37.646139395462036,""lon"":144.9068577506147}"
2025-09-16T09:02:32.901287087Z,"{""lat"":-37.646138665835686,""lon"":144.90685075903716}"
2025-09-16T09:02:33.926952485Z,"{""lat"":-37.64614008440456,""lon"":144.90683865480918}"
2025-09-16T09:02:34.943249266Z,"{""lat"":-37.64614362128331,""lon"":144.90684715777297}"
2025-09-16T09:02:35.898181285Z,"{""lat"":-37.64614693512788,""lon"":144.90684758564876}"
2025-09-16T09:02:36.896347436Z,"{""lat"":-37.64615482182703,""lon"":144.90685142231584}"
2025-09-16T09:02:37.8996027Z,"{""lat"":-37.646169684446285,""lon"":144.90683983638758}"
2025-09-16T09:02:38.902149093Z,"{""lat"":-37.6461716537981,""lon"":144.90683189961428}"
2025-09-16T09:02:39.915223659Z,"{""lat"":-37.64618710133632,""lon"":144.9068201824664}"
2025-09-16T09:02:40.96408952Z,"{""lat"":-37.64618977358637,""lon"":144.90682870823997}"
2025-09-16T09:02:42.019570838Z,"{""lat"":-37.64618882389232,""lon"":144.90683801146386}"
2025-09-16T09:02:42.908105423Z,"{""lat"":-37.64618628080527,""lon"":144.90683933265933}"
2025-09-16T09:02:43.909345331Z,"{""lat"":-37.64618987095106,""lon"":144.9068462952673}"
2025-09-16T09:02:44.90514993Z,"{""lat"":-37.646180016542665,""lon"":144.9068647482792}"
2025-09-16T09:02:45.907228368Z,"{""lat"":-37.646170132620114,""lon"":144.9068693440502}"
2025-09-16T09:02:46.916237507Z,"{""lat"":-37.64617547462671,""lon"":144.90686557512345}"
2025-09-16T09:02:48.455323488Z,"{""lat"":-37.64617005351527,""lon"":144.90686139982319}"
2025-09-16T09:03:38.507486167Z,"{""lat"":-37.646177123303175,""lon"":144.9068890948459}"
2025-09-16T09:03:39.514457923Z,"{""lat"":-37.646177123303175,""lon"":144.9068890948459}"
2025-09-16T09:03:40.519520004Z,"{""lat"":-37.646177280130516,""lon"":144.90689012327402}"
2025-09-16T09:03:41.534515876Z,"{""lat"":-37.646177280130516,""lon"":144.90689012327402}"
2025-09-16T09:03:42.540658889Z,"{""lat"":-37.646177280130516,""lon"":144.90689012327402}"
2025-09-16T09:03:43.537714907Z,"{""lat"":-37.6461270302271,""lon"":144.90691131416946}"
