20250807234516,21.20,60.00
20250807234526,21.20,60.10
20250807234536,21.20,60.00
20250807234546,21.20,59.90
20250807234556,21.20,59.90
20250807234606,21.20,59.80
20250807234616,21.20,59.80
20250807234626,21.30,60.00
20250807234636,21.30,59.80
20250807234646,21.30,59.70
20250807234656,21.30,59.80
20250807234706,21.30,59.80
20250807234716,21.30,59.80
20250807234726,21.30,59.70
20250807234736,21.30,59.90
20250807234746,21.30,59.70
20250807234756,21.30,59.80
20250807234806,21.30,60.10
20250807234816,21.30,59.70
20250807234826,21.30,60.00
20250807234836,21.30,59.70
20250807234846,21.40,60.30
20250807234856,21.40,59.80
20250807234906,21.40,59.60
20250807234916,21.40,60.30
20250807234926,21.40,59.80
20250807234936,21.40,59.60
20250807234946,21.40,59.90
20250807234956,21.40,59.60
20250807235006,21.40,59.40
20250807235016,21.50,59.70
20250807235026,21.40,59.50
20250807235036,21.50,59.50
20250807235046,21.40,59.40
20250807235056,21.50,59.60
20250807235106,21.40,59.40
20250807235116,21.40,59.40
20250807235126,21.50,59.40
20250807235136,21.50,59.40
20250807235146,21.50,59.30
20250807235156,21.50,59.30
20250807235206,21.50,59.40
20250807235216,21.50,59.40
20250807235226,21.50,59.40
20250807235236,21.50,59.70
20250807235246,21.50,59.50
20250807235256,21.50,59.40
20250807235306,21.50,62.10
20250807235316,21.50,59.70
20250807235326,21.50,59.60
20250807235336,21.50,59.50
20250807235346,21.50,59.50
20250807235356,21.50,59.40
20250807235406,21.60,59.40
20250807235416,21.50,59.30
20250807235426,21.60,59.20
20250807235436,21.60,59.20
20250807235446,21.60,59.30
20250807235456,21.60,59.30
20250807235506,21.60,59.20
20250807235516,21.60,59.10
20250807235526,21.60,59.20
20250807235536,21.60,59.30
20250807235546,21.60,59.20
20250807235556,21.60,59.30
20250807235606,21.60,59.30
20250807235616,21.60,59.30
20250807235626,21.60,59.10
20250807235636,21.60,59.60
20250807235646,21.60,59.40
20250807235656,21.60,59.20
20250807235706,21.60,59.30
20250807235716,21.60,59.30
20250807235726,21.60,59.20
20250807235736,21.60,59.30
20250807235746,21.60,59.30
20250807235756,21.60,59.30
20250807235806,21.60,59.40
20250807235816,21.60,59.90
20250807235826,21.70,59.40
20250807235836,21.60,59.30
20250807235846,21.70,59.30
20250807235856,21.70,59.60
20250807235906,21.70,59.80
20250807235916,21.70,59.40
20250807235926,21.70,59.20
20250807235936,21.70,59.10
20250807235946,21.70,59.20
20250807235956,21.70,59.10
20250808000006,21.70,59.10
20250808000016,21.70,59.20
20250808000027,21.70,59.20
20250808000037,21.70,59.20
20250808000047,21.70,59.20
20250808000057,21.70,59.20
20250808000107,21.70,59.20
20250808000117,21.70,59.10
20250808000127,21.70,59.20
20250808000137,21.70,59.20
20250808000147,21.80,59.10
20250808000157,21.80,59.00
20250808000207,21.80,59.00
20250808000217,21.80,59.10
20250808000227,21.80,59.00
20250808000237,21.80,59.00
20250808000247,21.80,59.20
20250808000257,21.80,59.00
20250808000307,21.80,59.20
20250808000317,21.80,59.10
20250808000327,21.80,59.00
20250808000337,21.90,72.00
20250808000347,22.20,99.80
20250808000357,22.20,68.70
20250808000407,22.20,62.60
20250808000417,22.20,61.10
20250808000427,22.20,60.50
20250808000437,22.20,60.00
20250808000447,22.20,59.60
20250808000457,22.20,59.40
20250808000507,22.20,59.40
20250808000517,22.20,59.20
20250808000527,22.20,59.10
20250808000537,22.20,59.00
20250808000547,22.20,58.90
20250808000557,22.10,58.90
20250808000607,22.10,58.90
20250808000617,22.20,76.30
20250808000627,22.20,67.40
20250808000637,22.20,62.20
20250808000647,22.10,67.80
20250808000657,22.20,61.50
20250808000707,22.20,60.10
20250808000717,22.10,59.60
20250808000727,22.10,59.40
20250808000737,22.10,59.20
20250808000747,22.10,59.10
20250808000757,22.00,59.10
20250808000807,22.00,59.20
20250808000817,22.00,59.30
20250808000827,21.90,59.40
20250808000837,21.90,59.30
20250808000847,21.90,59.30
20250808000857,21.90,59.20
20250808000907,21.80,59.30
20250808000917,21.80,59.30
20250808000927,21.80,59.30
20250808000937,21.80,59.30
20250808000947,21.80,59.40
20250808000957,21.80,59.50
20250808001007,21.80,59.50
20250808001017,21.80,59.40
20250808001027,21.80,59.30
20250808001037,21.80,59.40
20250808001047,21.80,59.40
20250808001057,21.80,59.40
20250808001107,21.80,59.50
20250808001117,21.80,59.30
20250808001127,21.80,59.50
20250808001137,21.80,59.50
20250808001147,21.80,59.40
20250808001157,21.80,59.40
20250808001207,21.80,59.40
20250808001217,21.80,59.40
20250808001227,21.80,59.40
20250808001237,21.80,59.40
20250808001247,21.80,59.40
20250808001257,21.80,59.30
20250808001307,21.80,59.30
20250808001317,21.80,59.40
20250808001327,21.80,59.50
20250808001337,21.80,59.40
20250808001347,21.80,59.40
