timestamp,gx,gy,gz
2025-08-20 16:18:35,-0.427,-0.183,-0.671
2025-08-20 16:18:35,-0.427,-0.122,-0.61
2025-08-20 16:18:35,-0.427,-0.122,-0.61
2025-08-20 16:18:35,-0.427,-0.122,-0.61
2025-08-20 16:18:36,-0.427,-0.122,-0.61
2025-08-20 16:18:36,-0.427,-0.122,-0.671
2025-08-20 16:18:36,-0.427,-0.183,-0.61
2025-08-20 16:18:36,-0.366,-0.122,-0.61
2025-08-20 16:18:36,-0.427,-0.122,-0.61
2025-08-20 16:18:36,-0.427,-0.122,-0.61
2025-08-20 16:18:36,-0.366,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.488,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:37,-0.427,-0.122,-0.61
2025-08-20 16:18:38,-0.427,-0.122,-0.61
2025-08-20 16:18:38,-0.427,-0.122,-0.61
2025-08-20 16:18:38,-0.427,-0.183,-0.61
2025-08-20 16:18:38,-0.427,-0.122,-0.61
2025-08-20 16:18:38,-0.427,-0.122,-0.61
2025-08-20 16:18:38,-0.427,-0.122,-0.61
2025-08-20 16:18:38,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.183,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:39,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:40,-0.427,-0.122,-0.61
2025-08-20 16:18:41,-0.427,-0.122,-0.61
2025-08-20 16:18:41,-0.427,-0.122,-0.61
2025-08-20 16:18:41,-0.366,-0.122,-0.61
2025-08-20 16:18:41,-0.427,-0.122,-0.61
2025-08-20 16:18:41,-0.427,-0.122,-0.61
2025-08-20 16:18:41,-0.427,-0.183,-0.61
2025-08-20 16:18:41,-0.427,-0.122,-0.61
2025-08-20 16:18:42,-0.427,-0.122,-0.61
2025-08-20 16:18:42,-0.427,-0.122,-0.61
2025-08-20 16:18:42,-0.427,-0.122,-0.61
2025-08-20 16:18:42,-0.427,-0.183,-0.61
2025-08-20 16:18:42,-0.427,-0.122,-0.61
2025-08-20 16:18:42,-0.427,-0.183,-0.61
2025-08-20 16:18:42,-0.427,-0.122,-0.61
2025-08-20 16:18:42,-0.427,-0.122,-0.61
2025-08-20 16:18:43,-0.427,-0.122,-0.61
2025-08-20 16:18:43,-0.427,-0.183,-0.61
2025-08-20 16:18:43,-0.427,-0.122,-0.61
2025-08-20 16:18:43,-0.427,-0.122,-0.61
2025-08-20 16:18:43,-0.427,-0.122,-0.61
2025-08-20 16:18:43,-0.427,-0.122,-0.61
2025-08-20 16:18:43,-0.488,-0.122,-0.61
2025-08-20 16:18:43,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.122,-0.61
2025-08-20 16:18:44,-0.427,-0.183,-0.61
2025-08-20 16:18:45,-0.427,-0.122,-0.61
2025-08-20 16:18:45,-0.427,-0.122,-0.61
2025-08-20 16:18:45,-0.427,-0.183,-0.61
2025-08-20 16:18:45,-0.366,-0.122,-0.61
2025-08-20 16:18:45,-0.427,-0.122,-0.61
2025-08-20 16:18:45,-0.427,-0.183,-0.61
2025-08-20 16:18:45,-0.427,-0.122,-0.61
2025-08-20 16:18:45,-0.366,-0.122,-0.61
2025-08-20 16:18:46,-0.427,-0.183,-0.61
2025-08-20 16:18:46,-0.427,-0.122,-0.61
2025-08-20 16:18:46,-0.427,-0.183,-0.61
2025-08-20 16:18:46,-0.427,-0.122,-0.549
2025-08-20 16:18:46,-0.427,-0.122,-0.671
